Plant,Treatment,Media,Fus,Gm,Pieces,Fus.isolate,FusPercent,GmPercent
1,NS,1/2PDA++,3,1,4,Lily61,0.75,0.25
3,NS,1/2PDA++,4,0,4,Lily62,1,0
4,NS,1/2PDA++,3,1,4,Lily63,0.75,0.25
5,C,1/2PDA++,1,2,3,Lily64,0.333333333,0.666666667
6,C,1/2PDA++,0,0,4,,0,0
7,FT,1/2PDA++,4,0,4,Lily65,1,0
8,FT,1/2PDA++,0,2,4,,0,0.5
9,FT,1/2PDA++,3,0,4,Lily66,0.75,0
10,FT,1/2PDA++,2,2,5,Lily67,0.4,0.4
11,F,1/2PDA++,1,2,4,Lily95,0.25,0.5
12,F,1/2PDA++,0,4,4,,0,1
13,F,1/2PDA++,2,2,5,Lily68,0.4,0.4
17,T,1/2PDA++,1,2,4,,0.25,0.5
18,T,1/2PDA++,0,4,4,,0,1
19,T,1/2PDA++,1,3,4,,0.25,0.75
20,F,1/2PDA++,5,0,6,Lily69,0.833333333,0
21,F,1/2PDA++,1,2,6,,0.166666667,0.333333333
22,F,1/2PDA++,2,2,5,Lily70,0.4,0.4
23,C,1/2PDA++,0,5,6,,0,0.833333333
24,C,1/2PDA++,0,0,4,,0,0
25,T,1/2PDA++,0,6,6,,0,1
26,T,1/2PDA++,0,4,4,,0,1
28,FT,1/2PDA++,4,0,4,Lily71,1,0
29,FT,1/2PDA++,2,3,5,Lily72,0.4,0.6
30,FT,1/2PDA++,1,1,4,Lily73,0.25,0.25
