Plant,Treatment,Colonies,Source,Media,
28,FT,296,Soil,PPA,
4,NS,286,Soil,PPA,
25,T,10,Soil,PPA,
23,C,0,Soil,PPA,
5,C,2,Soil,PPA,
8,FT,173,Soil,PPA,
6,C,10,Soil,PPA,
7,FT,134,Soil,PPA,
17,T,0,Soil,PPA,
12,F,144,Soil,PPA,
11,F,33,Soil,PPA,
1,NS,135,Soil,PPA,
3,NS,10,Soil,PPA,
18,T,5,Soil,PPA,
3,NS,17,Soil,PPA,
10,FT,225,Soil,PPA,
30,FT,186,Soil,PPA,
29,FT,274,Soil,PPA,
24,C,0,Soil,PPA,
22,F,195,Soil,PPA,
20,F,153,Soil,PPA,
13,F,82,Soil,PPA,
9,FT,164,Soil,PPA,
26,T,23,Soil,PPA,
19,T,26,Soil,PPA,
28,FT,329,Soil,PPA,
4,NS,212,Soil,PPA,
25,T,12,Soil,PPA,
23,C,0,Soil,PPA,
5,C,0,Soil,PPA,
8,FT,137,Soil,PPA,
6,C,10,Soil,PPA,
7,FT,96,Soil,PPA,
17,T,0,Soil,PPA,
12,F,100,Soil,PPA,
11,F,23,Soil,PPA,
1,NS,152,Soil,PPA,
3,NS,0,Soil,PPA,
18,T,4,Soil,PPA,
3,NS,6,Soil,PPA,
10,FT,172,Soil,PPA,
30,FT,165,Soil,PPA,
29,FT,289,Soil,PPA,
24,C,0,Soil,PPA,
22,F,202,Soil,PPA,
20,F,169,Soil,PPA,
13,F,101,Soil,PPA,
9,FT,187,Soil,PPA,
26,T,15,Soil,PPA,
19,T,25,Soil,PPA,
28,FT,306,Soil,PPA,
4,NS,230,Soil,PPA,
25,T,16,Soil,PPA,
23,C,0,Soil,PPA,
5,C,0,Soil,PPA,
8,FT,124,Soil,PPA,
6,C,9,Soil,PPA,
7,FT,89,Soil,PPA,
17,T,0,Soil,PPA,
12,F,131,Soil,PPA,
11,F,44,Soil,PPA,
1,NS,143,Soil,PPA,
3,NS,10,Soil,PPA,
18,T,6,Soil,PPA,
3,NS,18,Soil,PPA,
10,FT,209,Soil,PPA,
30,FT,193,Soil,PPA,
29,FT,267,Soil,PPA,
24,C,0,Soil,PPA,
22,F,186,Soil,PPA,
20,F,184,Soil,PPA,
13,F,74,Soil,PPA,
9,FT,92,Soil,PPA,
26,T,18,Soil,PPA,
19,T,19,Soil,PPA,
28,FT,287,Soil,PPA,
4,NS,189,Soil,PPA,
25,T,20,Soil,PPA,
23,C,0,Soil,PPA,
5,C,0,Soil,PPA,
8,FT,155,Soil,PPA,
6,C,8,Soil,PPA,
7,FT,90,Soil,PPA,
17,T,0,Soil,PPA,
12,F,141,Soil,PPA,
11,F,31,Soil,PPA,
1,NS,156,Soil,PPA,
3,NS,0,Soil,PPA,
18,T,4,Soil,PPA,
3,NS,2,Soil,PPA,
10,FT,251,Soil,PPA,
30,FT,159,Soil,PPA,
29,FT,271,Soil,PPA,
24,C,0,Soil,PPA,
22,F,179,Soil,PPA,
20,F,172,Soil,PPA,
13,F,125,Soil,PPA,
9,FT,136,Soil,PPA,
26,T,11,Soil,PPA,
19,T,15,Soil,PPA,
1,NS,0.75,Canker,1/2PDA++,
3,NS,1,Canker,1/2PDA++,
4,NS,0.75,Canker,1/2PDA++,
5,C,0.333333333,Canker,1/2PDA++,
6,C,0,Canker,1/2PDA++,
7,FT,1,Canker,1/2PDA++,
8,FT,0,Canker,1/2PDA++,
9,FT,0.75,Canker,1/2PDA++,
10,FT,0.4,Canker,1/2PDA++,
11,F,0.25,Canker,1/2PDA++,
12,F,0,Canker,1/2PDA++,
13,F,0.4,Canker,1/2PDA++,
17,T,0.25,Canker,1/2PDA++,
18,T,0,Canker,1/2PDA++,
19,T,0.25,Canker,1/2PDA++,
20,F,0.833333333,Canker,1/2PDA++,
21,F,0.166666667,Canker,1/2PDA++,
22,F,0.4,Canker,1/2PDA++,
23,C,0,Canker,1/2PDA++,
24,C,0,Canker,1/2PDA++,
25,T,0,Canker,1/2PDA++,
26,T,0,Canker,1/2PDA++,
28,FT,1,Canker,1/2PDA++,
29,FT,0.4,Canker,1/2PDA++,
30,FT,0.25,Canker,1/2PDA++,
1,NS,0.9,Roots,SFA,
3,NS,0,Roots,SFA,
4,NS,0.55,Roots,SFA,
5,C,0.05,Roots,SFA,
6,C,0,Roots,SFA,
7,FT,0.666666667,Roots,SFA,
8,FT,0.95,Roots,SFA,
9,FT,0.6,Roots,SFA,
10,FT,0.95,Roots,SFA,
11,F,0.35,Roots,SFA,
12,F,0.6,Roots,SFA,
13,F,0.15,Roots,SFA,
17,T,0,Roots,SFA,
18,T,0,Roots,SFA,
19,T,0.15,Roots,SFA,
20,F,0.9,Roots,SFA,
21,F,1,Roots,SFA,
22,F,1,Roots,SFA,
23,C,0.25,Roots,SFA,
24,C,0.05,Roots,SFA,
25,T,0.05,Roots,SFA,
26,T,0.95,Roots,SFA,
28,FT,0.1,Roots,SFA,
29,FT,1,Roots,SFA,
30,FT,0.95,Roots,SFA,
1,NS,0.95,Roots,TSM,
3,NS,0,Roots,TSM,
4,NS,0.7,Roots,TSM,
5,C,0.2,Roots,TSM,
6,C,0,Roots,TSM,
7,FT,0.25,Roots,TSM,
8,FT,1,Roots,TSM,
9,FT,0.35,Roots,TSM,
10,FT,0.85,Roots,TSM,
11,F,0.25,Roots,TSM,
12,F,0.65,Roots,TSM,
13,F,0.1,Roots,TSM,
17,T,0,Roots,TSM,
18,T,0,Roots,TSM,
19,T,0.05,Roots,TSM,
20,F,0.9,Roots,TSM,
21,F,0.85,Roots,TSM,
22,F,0.95,Roots,TSM,
23,C,0.3,Roots,TSM,
24,C,0.05,Roots,TSM,
25,T,0,Roots,TSM,
26,T,1,Roots,TSM,
28,FT,0.05,Roots,TSM,
29,FT,1,Roots,TSM,
30,FT,0.9,Roots,TSM,
