Sequence_ID	Organism
Lily61	Fusarium sp.
Lily62	Fusarium sp.
Lily63	Fusarium sp.
Lily64	Fusarium sp.
Lily65	Fusarium sp.
Lily66	Fusarium sp.
Lily67	Fusarium sp.
Lily68	Fusarium sp.
Lily69	Fusarium sp.
Lily70	Fusarium sp.
Lily71	Fusarium sp.
Lily72	Fusarium sp.
Lily73	Fusarium sp.
Rh217	Fusarium sp.
Rh501	Fusarium sp.
Rh504	Fusarium sp.
Rh508	Fusarium sp.
Rh509	Fusarium sp.
Rh513	Fusarium sp.
Rh514	Fusarium sp.
Rh515	Fusarium sp.
Rh516	Fusarium sp.
Rh518	Fusarium sp.
Rh523	Fusarium sp.
Rh532	Fusarium sp.
Rh539	Fusarium sp.
Rh545	Fusarium sp.
Rh548	Fusarium sp.
Rh550	Fusarium sp.
Rh557	Fusarium sp.
Rh559	Fusarium sp.
Rh560	Fusarium sp.
Rh561	Fusarium sp.
Rh562	Fusarium sp.
Rh563	Fusarium sp.
Rh564	Fusarium sp.
Rh565	Fusarium sp.
Rh566	Fusarium sp.
Rh567	Fusarium sp.
Rh568	Fusarium sp.
Rh569	Fusarium sp.
Rh571	Fusarium sp.
Rh572	Fusarium sp.
Rh573	Fusarium sp.
Rh574	Fusarium sp.
Rh575	Fusarium sp.
Rh578	Fusarium sp.
Rh583	Fusarium sp.
Rh586	Fusarium sp.
Rh587	Fusarium sp.
Rh588	Fusarium sp.
Rh589	Fusarium sp.
Rh591	Fusarium sp.
Rh594	Fusarium sp.
Rh595	Fusarium sp.
Rh596	Fusarium sp.
Rh600	Fusarium sp.
Rh601	Fusarium sp.
Rh602	Fusarium sp.
Rh603	Fusarium sp.
Rh604	Fusarium sp.
Rh605	Fusarium sp.
Rh608	Fusarium sp.
Rh609	Fusarium sp.
Rh610	Fusarium sp.
Rh611	Fusarium sp.
Rh612	Fusarium sp.
Rh614	Fusarium sp.
Rh615	Fusarium sp.
Rh617	Fusarium sp.
Rh618	Fusarium sp.
Rh619	Fusarium sp.
Rh620	Fusarium sp.
Rh621	Fusarium sp.
Rh622	Fusarium sp.
Rh623	Fusarium sp.
Rh624	Fusarium sp.
Rh631	Fusarium sp.
Rh632	Fusarium sp.
Rh634	Fusarium sp.
Rh636	Fusarium sp.
Rh607_1	Trichoderma asperellum
Rh613_1	Trichoderma asperellum
