"","otu","Size","kingdom","phylum","class","order","family","genus","species","Parent.isolate","Isolate","Treat","Rep","Media"
"1","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","76","Rh76","P",6,"PDA"
"2","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","77","Rh77","P",6,"PDA"
"3","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","79","Rh79","P",6,"PDA"
"4","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","80","Rh80","P",6,"PVARP"
"5","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","81","Rh81","P",6,"PDAm"
"6","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","82","Rh82","P",6,"PDAm"
"7","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","84","Rh84_2","P",6,"PDAm"
"8","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","88","Rh88","P",6,"PDAm"
"9","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","89","Rh89","P",6,"PDAm"
"10","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","91","Rh91","P",6,"GYBRA"
"11","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","92","Rh92","P",6,"GYBRA"
"12","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","103","Rh103","S",3,"GYRBA"
"13","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","108","Rh108","S",1,"PVARP"
