Treat,Rep,Callus,Raised,Prolif
S,1,2,,1
S,2,1,,
S,3,1,,
S,4,1,,
S,5,1,,
S,6,1,,
S,7,3,,
S,10,3,,1
S,11,0,,
S,12,1,,
S,13,0,,
S,14,1,,
S,15,1,,
S,16,1,,
S,17,1,,1
S,18,2,,1
S,19,1,1,
S,20,1,,
S,21,0,,
S,22,1,,
S,23,1,1,
S,24,1,,
S,25,1,,
S,26,3,1,1
S,27,0,,1
S,28,0,,
S,29,2,,1
S,31,1,,
S,32,0,,
S,33,1,,1
S,34,1,1,
S,35,1,,
S,36,1,,
S,37,0,,
S,39,0,,
S,40,1,,
P,1,3,1,
P,2,1,,
P,3,1,,
P,4,1,,
P,5,2,,
P,6,1,,
P,7,2,,
P,8,3,,
P,9,1,,
P,10,1,,
P,11,1,,
P,12,1,,
P,13,2,,
P,15,1,,
P,16,1,,
P,17,3,,
P,18,2,,
P,19,2,,
P,20,1,,
P,21,1,,
P,22,1,,
P,23,2,,
P,24,0,,
P,25,1,,
P,26,1,,
P,27,1,,
P,28,3,,
P,29,3,,
P,30,1,,
P,31,2,,
P,32,1,,
P,33,2,,
P,34,1,,
P,35,2,,
P,36,2,,
P,37,3,,
P,38,1,,
P,40,1,,
F,1,1,,
F,2,2,,
F,3,2,,
F,5,2,,
F,6,0,,
F,7,1,,
F,8,1,,
F,9,1,,
F,10,3,,
F,11,2,,
F,12,3,,
F,13,1,,
F,14,3,,
F,15,0,,
F,16,2,,
F,17,2,,
F,18,1,,
F,19,1,,
F,20,1,,
F,21,1,,
F,22,1,,
F,23,1,,
F,24,2,,
F,25,3,,
F,26,2,,
F,27,2,,
F,28,2,,
F,29,1,,
F,30,1,,
F,31,1,,
F,32,2,,
F,33,1,,
F,34,3,,
F,35,1,,
F,36,2,,
F,37,1,,
F,38,1,,
F,39,1,,
F,40,1,,
