Treat,Rep,Label,Area,Inoc,A.necr
F,1,F1.tif,0.601,Gm,0.4753364
F,10,F10.tif,0.381,Gm,0.2553364
F,11,F11.tif,0.027,Gm,0
F,12,F12.tif,0.018,Control,0
F,13,F13.tif,0.401,Gm,0.2753364
F,14,F14.tif,0.077,Control,0
F,15,F15.tif,0.296,Gm,0.1703364
F,16,F16.tif,0.297,Control,0.1713364
F,17,F17.tif,0.334,Gm,0.2083364
F,18,F18.tif,0.322,Gm,0.1963364
F,19,F19.tif,0.503,Gm,0.3773364
F,2,F2.tif,0.464,Control,0.3383364
F,20,F20.tif,0.444,Control,0.3183364
F,21,F21.tif,0.553,Gm,0.4273364
F,22,F22.tif,0.322,Gm,0.1963364
F,23,F23.tif,0.445,Gm,0.3193364
F,24,F24.tif,0.43,Gm,0.3043364
F,25,F25.tif,0.309,Control,0.1833364
F,26,F26.tif,0.249,Control,0.1233364
F,27,F27.tif,0.463,Gm,0.3373364
F,28,F28.tif,0.489,Gm,0.3633364
F,29,F29.tif,0.416,Gm,0.2903364
F,3,F3.tif,0.193,Control,0.0673364
F,30,F30.tif,0.472,Gm,0.3463364
F,31,F31.tif,0.421,Gm,0.2953364
F,32,F32.tif,0.298,Gm,0.1723364
F,33,F33.tif,0.456,Gm,0.3303364
F,34,F34.tif,0.349,Gm,0.2233364
F,35,F35.tif,0.516,Gm,0.3903364
F,36,F36.tif,0.338,Gm,0.2123364
F,37,F37.tif,0.376,Gm,0.2503364
F,38,F38.tif,0.344,Gm,0.2183364
F,39,F39.tif,0.368,Control,0.2423364
F,40,F40.tif,0.424,Gm,0.2983364
F,5,F5.tif,0.356,Gm,0.2303364
F,6,F6.tif,0.418,Gm,0.2923364
F,7,F7.tif,0.385,Gm,0.2593364
F,8,F8.tif,0.353,Gm,0.2273364
F,9,F9.tif,0.377,Control,0.2513364
P,1,P1.tif,0.492,Gm,0.3663364
P,10,P10.tif,0.458,Gm,0.3323364
P,11,P11.tif,0.432,Control,0.3063364
P,12,P12.tif,0.357,Gm,0.2313364
P,13,P13.tif,0.288,Control,0.1623364
P,15,P15.tif,0.461,Gm,0.3353364
P,16,P16.tif,0.406,Gm,0.2803364
P,17,P17.tif,0.234,Control,0.1083364
P,18,P18.tif,0.356,Gm,0.2303364
P,19,P19.tif,0.252,Control,0.1263364
P,2,P2.tif,0.419,Gm,0.2933364
P,20,P20.tif,0.306,Gm,0.1803364
P,21,P21.tif,0.505,Gm,0.3793364
P,22,P22.tif,0.517,Gm,0.3913364
P,23,P23.tif,0.294,Control,0.1683364
P,24,P24.tif,0.36,Gm,0.2343364
P,25,P25.tif,0.542,Gm,0.4163364
P,26,P26.tif,0.63,Gm,0.5043364
P,27,P27.tif,0.449,Gm,0.3233364
P,28,P28.tif,0.251,Control,0.1253364
P,29,P29.tif,0.2,Control,0.0743364
P,3,P3.tif,0.433,Gm,0.3073364
P,30,P30.tif,0.388,Gm,0.2623364
P,31,P31.tif,0.266,Control,0.1403364
P,32,P32.tif,0.478,Gm,0.3523364
P,33,P33.tif,0.404,Control,0.2783364
P,34,P34.tif,0.388,Gm,0.2623364
P,35,P35.tif,0.414,Gm,0.2883364
P,36,P36.tif,0.326,Gm,0.2003364
P,37,P37.tif,0.086,Gm,0
P,38,P38.tif,0.533,Gm,0.4073364
P,4,P4.tif,0.392,Gm,0.2663364
P,40,P40.tif,0.432,Gm,0.3063364
P,5,P5.tif,0.44,Gm,0.3143364
P,6,P6.tif,0.394,Gm,0.2683364
P,7,P7.tif,0.259,Control,0.1333364
P,8,P8.tif,0.388,Gm,0.2623364
P,9,P9.tif,0.469,Gm,0.3433364
S,1,S1.tif,0.355,Gm,0.2293364
S,10,S10.tif,0.123,Control,0
S,11,S11.tif,0.291,Control,0.1653364
S,12,S12.tif,0.47,Gm,0.3443364
S,13,S13.tif,0.416,Gm,0.2903364
S,14,S14.tif,0.382,Gm,0.2563364
S,15,S15.tif,0.45,Gm,0.3243364
S,16,S16.tif,0.388,Gm,0.2623364
S,17,S17.tif,0.419,Gm,0.2933364
S,18,S18.tif,0.186,Control,0.0603364
S,19,S19.tif,0.462,Gm,0.3363364
S,2,S2.tif,0.493,Gm,0.3673364
S,20,S20.tif,0.416,Gm,0.2903364
S,21,S21.tif,0.401,Gm,0.2753364
S,22,S22.tif,0.429,Gm,0.3033364
S,23,S23.tif,0.358,Gm,0.2323364
S,24,S24.tif,0.441,Control,0.3153364
S,25,S25.tif,0.588,Gm,0.4623364
S,26,S26.tif,0.088,Control,0
S,27,S27.tif,0.602,Gm,0.4763364
S,28,S28.tif,0.492,Gm,0.3663364
S,29,S29.tif,0.422,Gm,0.2963364
S,3,S3.tif,0.57,Gm,0.4443364
S,31,S31.tif,0.343,Control,0.2173364
S,32,S32.tif,0.393,Control,0.2673364
S,33,S33.tif,0.366,Gm,0.2403364
S,34,S34.tif,0.48,Gm,0.3543364
S,35,S35.tif,0.323,Control,0.1973364
S,36,S36.tif,0.604,Gm,0.4783364
S,37,S37.tif,0.445,Gm,0.3193364
S,39,S39.tif,0.527,Gm,0.4013364
S,4,S4.tif,0.478,Gm,0.3523364
S,40,S40.tif,0.42,Gm,0.2943364
S,5,S5.tif,0.417,Gm,0.2913364
S,6,S6.tif,0.268,Control,0.1423364
S,7,S7.tif,0.571,Gm,0.4453364
