Sequence_ID	Organism
Rh-127	Ceratobasidiaceae 
Rh-143	Curvularia coatesiae
Rh-185	Rhizoctonia fragariae
Rh-22	Phomopsis acerina
Rh-258	Paraphoma radicina
Rh-277a	Rhizoctonia fragariae
Rh-293-rep2	Rhizoctonia fragariae
Rh-308	Rhizoctonia fragariae
Rh-328	Dipodascus 
Rh-344	Pseudallescheria ellipsoidea
Rh-356	Pseudallescheria ellipsoidea
Rh-357	Atrocalyx sp
Rh-369	Atrocalyx 
Rh-41	Nectriaceae 
Rh-42	Fusarium 
Rh-50	Neocosmospora 
Rh-53	Lophiotremataceae 
Rh-57	Dactylonectria novozelandica
Rh-60	Basidiomycota 
Rh-62	Nectriaceae 
Rh-63	Ilyonectria macrodidyma
Rh-65	Fusarium 
Rh-67	Neocosmospora falciformis
Rh-68	Agaricomycetes 
Rh-70	Phialemoniopsis hongkongensis
Rh-74	Curvularia 
Rh-79-rep3	Neocosmospora rubicola
Rh-80	Neocosmospora rubicola
Rh-81	Neocosmospora rubicola
Rh-82	Neocosmospora falciformis
Rh-83	Paraphoma radicina
Rh-85	Rhizoctonia fragariae
Rh-86	Plectosphaerella 
Rh-91	Neocosmospora rubicola
Rh-108-rep2	Cylindrocarpon vaginae
Rh-109-rep2	Nectriaceae 
Rh-11	Xylaria polymorpha
Rh-117-rep2	Fusarium keratoplasticum
Rh-119	Neocosmospora rubicola
Rh-121-rep2	Neocosmospora rubicola
Rh-122-rep2	Neocosmospora rubicola
Rh-150a	Trichoderma 
Rh-152	Trichoderma 
Rh-153	Trichoderma fomitopsis
Rh-161-rep2	Phomopsis 
Rh-165-rep2	Neocosmospora rubicola
Rh-169	Trichoderma 
Rh-178	Chaetomiaceae 
Rh-187	Neocosmospora perseae
Rh-192	Nectriaceae 
Rh-195	Nectriaceae 
Rh-201-rep2	Nectriaceae 
Rh-204	Trichoderma 
Rh-205	Nectriaceae 
Rh-211	Nectriaceae 
Rh-216	Neocosmospora perseae
Rh-224-rep2	Trichoderma simmonsii
Rh-230	Neocosmospora perseae
Rh-231-rep2	Neocosmospora perseae
Rh-236	Mycoleptodiscus terrestris
Rh-236a	Zopfiella lundqvistii
Rh-239	Nectriaceae 
Rh-269-rep2	Acephala sp
Rh-280-rep2	Rhizoctonia fragariae
Rh-287-rep2	Rhizoctonia fragariae
Rh-3	Sordariomycetes 
Rh-304	Zopfiella marina
Rh-304a	Fusarium 
